"Store Locator","Store Locator"
"Search","Search"
"Country","Country"
"Address","Address"
"Radius","Radius"
"CURRENT LOCATION","CURRENT LOCATION"
"We Found","We Found"
"We've found that you are located at:","We've found that you are located at:"
"Locations Near You!","Locations Near You!"
"Website","Website"
"Back to Top","Back to Top"
"Get Directions","Get Directions"
"Stores Locations","Stores Locations"
"Remove All Stores","Remove All Stores"
"Fill Stores Geo Data","Fill Stores Geo Data"
"Import Stores","Import Stores"
"Add New Store","Add New Store"
"ID","ID"
"Title","Title"
"Country","Country"
"State","State"
"City","City"
"Created","Created"
"Updated","Updated"
"Status","Status"
"Disabled","Disabled"
"Enabled","Enabled"
"Delete","Delete"
"Save Store","Save Store"
"Save and Continue Edit","Save and Continue Edit"
"New Store","New Store"
"Edit Store '%s'","Edit Store '%s'"
"Store Information","Store Information"
"Store View","Store View"
"Position","Position"
"Zip/Postal Code","Zip/Postal Code"
"Street","Street"
"Description","Description"
"Phone Number","Phone Number"
"Image & Icon","Image & Icon"
"Dimension should be 32px * 32px","Dimension should be 32px * 32px"
"Image","Image"
"Google Maps","Google Maps"
"Latitude","Latitude"
"Longitude","Longitude"
"Google Maps Data","Google Maps Data"
"Manage Store","Manage Store"
"Manage Store Locations","Manage Store Locations"
"This store no longer exists.","This store no longer exists."
"The store has been saved.","The store has been saved."
"An error occurred while saving the store information.","An error occurred while saving the store information."
"Unable to find a store to delete.","Unable to find a store to delete."
"From 1 to 20. Zoom 0 corresponds to a map of the Earth fully zoomed out, and higher zoom levels zoom in at a higher resolution.","From 1 to 20. Zoom 0 corresponds to a map of the Earth fully zoomed out, and higher zoom levels zoom in at a higher resolution."
"Stores Per Page","Stores Per Page"
"Enable Pagination","Enable Pagination"
"Enter City & State or Zip","Enter City & State or Zip"